page,name,name_uncertain,parens,year,year_uncertain,tech,players,prod,notes,raw_line,disposition,catalog_slug,catalog_conf,catalog_maker,catalog_year,ipdb_id,ipdb_conf,ipdb_maker,opdb_id,review
apple-time,Thunder Man,,,1987,,,,,,Thunder Man,exists,thunder-man,high,apple-time,1987,4666,high,"Apple Time, of Italy",GRoyw-M4ojr,
apple-time,Thunderman,,,1987,,,,,,Thunderman,new-model-existing-maker,,,,,,,,,
artigiana-ricambi,Sandokan,,modifica Card Trix | tiratura prevista: 10 pezzi,1976,,,,,,Sandokan (modifica Card Trix) (tiratura prevista: 10 pezzi),new-model-existing-maker,,,,,,,,,
artigiana-ricambi,Bowlingirl,,,1976,,,,,,Bowlingirl,exists,bowlingirl,high,ditta-artigiana-ricambi,,3978,high,Ditta Artigiana Ricambi,,
artigiana-ricambi,Stunt Cars,,modifica Card King,1976,range:1976-77,,,,,Stunt Cars (modifica Card King),new-model-existing-maker,,,,,,,,,
bell-games,The King,,,1978,,ss,4,,,The King – ss – 4p,exists,king,high,bell-coin-matics,,3625,high,"Bell Coin Matics, of Bologna, Italy (1978-1980)",,
bell-games,Sinbad,,co-production Europlay/Bell Games,1979,,ss,4,,,Sinbad (co-production Europlay/Bell Games) – ss – 4p,new-model-existing-maker,sinbad-3,low,electromatic-brasil,1978,2159,low,"D. Gottlieb & Company, a Columbia Pictures Industries Company (1977-1983)[Trade Name: Gottlieb]",G4xqN-MD1Rj,yes
bell-games,Sexy Girl,,,1979,,ss,4,,(co-production Arkon/Ranco/Bell Games),Sexy Girl – ss – 4p (co-production Arkon/Ranco/Bell Games),new-model-existing-maker,sexy-girl,low,arkon-automaten-gmbh,,2106,low,"Arkon Automaten, GmbH, of Frankfurt, Germany (1980-1982)",GrkOB-MD00x,yes
bell-games,The Hunter,,,1980,,ss,4,,,The Hunter – ss – 4p,exists,the-hunter,high,bell-coin-matics,,3733,high,"Bell Coin Matics, of Bologna, Italy (1978-1980)",G4Od9-MDlpK,
bell-games,White Shark,,,1980,,ss,4,,,White Shark – ss – 4p,exists,white-shark,high,bell-coin-matics,,3555,high,"Bell Coin Matics, of Bologna, Italy (1978-1980)",G509D-M9RzK,
bell-games,Cosmodrome,,,1980,,ss,4,,,Cosmodrome – ss – 4p,exists,cosmodrome,high,bell-coin-matics,,3696,high,"Bell Coin Matics, of Bologna, Italy (1978-1980)",G509D-MnKVN,
bell-games,Frontier,,,1981,,ss,4,,,Frontier – ss – 4p,exists,frontier-2,high,bell-games,1981,3706,high,"Bell Games, of Bologna, Italy (1980-1985)",GRwjq-MQ29Y,
bell-games,Fireball II,,,1981,,ss,4,,,Fireball II – ss – 4p,exists,fireball-ii-2,high,bell-games,1981,3704,high,"Bell Games, of Bologna, Italy (1980-1985)",Gry7q-MLyvr,
bell-games,Flash Gordon,,,1981,,ss,4,,,Flash Gordon – ss – 4p,exists,flash-gordon-2,high,bell-games,1981,3705,high,"Bell Games, of Bologna, Italy (1980-1985)",G5728-MDbjD,
bell-games,Fantasy,,Centaur,1982,,ss,4,,,Fantasy (Centaur) – ss – 4p,exists,fantasy,high,bell-games,,3091,high,"Bell Games, of Bologna, Italy (1980-1985)",GrX7q-MJop6,
bell-games,Magic Picture Pin,,co-production Arkon/Ranco/Bell Games,1982,,ss,4,,,Magic Picture Pin (co-production Arkon/Ranco/Bell Games) – ss – 4p,exists,magic-picture-pin-2,high,bell-games,1982,3891,high,"Bell Games, of Bologna, Italy (1980-1985)",GRD2P-MQknK,
bell-games,Pin Ball,,Pinball Champ ’82,1983,,ss,4,,,Pin Ball (Pinball Champ ’82) – ss – 4p,new-model-existing-maker,pin-ball-2,low,joctronic-juegos-electronicos-sa,1987,3805,low,"Recel S. A., of Madrid, Spain (1974-1986)",,yes
bell-games,Pinball Pool,,Eight Ball De Luxe,1983,,ss,4,,,Pinball Pool (Eight Ball De Luxe) – ss – 4p,new-model-existing-maker,pinball-pool,low,d-gottlieb-company-a-columbia-pictures-industries-company,1979,1795,low,"D. Gottlieb & Company, a Columbia Pictures Industries Company (1977-1983)[Trade Name: Gottlieb]",G4kdB-MLqe3,yes
bell-games,Cosmic Flash,,,1984,,ss,4,,,Cosmic Flash – ss – 4p,exists,cosmic-flash-2,high,bell-games,1984,3695,high,"Bell Games, of Bologna, Italy (1980-1985)",G5pxD-MBRWW,
bell-games,Super Bowl,,X’s & O’s,1984,,ss,4,,,Super Bowl (X’s & O’s) – ss – 4p,exists,super-bowl,high,bell-games,,3399,high,"Bell Games, of Bologna, Italy (1980-1985)",GRpWD-MQork,
bell-games,Tiger Rag,,King of Steel,1984,,ss,4,,,Tiger Rag (King of Steel) – ss – 4p,exists,tiger-rag,high,bell-games,,3501,high,"Bell Games, of Bologna, Italy (1980-1985)",GR67j-MLqwr,
bell-games,New Wave,,Black Pyramid,1985,,ss,4,,,New Wave (Black Pyramid) – ss – 4p,exists,new-wave,high,bell-games,,3482,high,"Bell Games, of Bologna, Italy (1980-1985)",GRB8Z-MQKXV,
bell-games,Saturn II,,Spy Hunter,1985,,ss,4,,,Saturn II (Spy Hunter) – ss – 4p,new-model-existing-maker,,,,,,,,,
bell-games,World Defender,,,1985,,ss,4,,,World Defender – ss – 4p,exists,world-defender,high,nuova-bell-games,,3519,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",GR9NQ-MRjop,
bell-games,Space Hawks,,Cybernaut,1986,,ss,4,,,Space Hawks (Cybernaut) – ss – 4p,exists,space-hawks,high,nuova-bell-games,,3621,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",GR69j-MdEEB,
bell-games,Dark Shadow,,,1986,,ss,4,,,Dark Shadow – ss – 4p,exists,dark-shadow,high,nuova-bell-games,1986,3699,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",G4eQ2-MJNO7,
bell-games,Skill Flight,,,1986,,ss,4,,,Skill Flight – ss – 4p,exists,skill-flight,high,nuova-bell-games,1986,3230,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",GRb7q-MDEn7,
bell-games,Cobra,,,1987,,ss,4,,,Cobra – ss – 4p,exists,cobra,high,nuova-bell-games,1987,3026,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",G50zO-MJ97Z,
bell-games,Future Queen,,,1987,,ss,4,,,Future Queen – ss – 4p,exists,future-queen,high,nuova-bell-games,1987,3114,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",GRpBV-MrRbE,
bell-games,F1 Grand Prix,,,1987,,ss,4,,,F1 Grand Prix – ss – 4p,exists,f1-grand-prix,high,nuova-bell-games,1987,3623,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",G4Oye-MQPw8,
bell-games,Top Pin,,Pinbot,1988,,ss,4,,,Top Pin (Pinbot) – ss – 4p,exists,top-pin,high,nuova-bell-games,1988,3471,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",,
bell-games,U-Boat 65,,,1988,,ss,4,,,U-Boat 65 – ss – 4p,exists,u-boat-65,high,nuova-bell-games,1988,3736,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",GRD67-Mo1Ol,
bem,(anno preciso di costruzione sconosciuto),,,,,,,,,(anno preciso di costruzione sconosciuto),new-model-existing-maker,,,,,,,,,
bem,Jackpot,,identico a quello costruito dalla Playmec?,,,em,,,,Jackpot (em) (identico a quello costruito dalla Playmec?),exists,jackpot-2,high,bigliardini-elettronici-milano,1976,4991,high,"Bigliardini Elettronici Milano, of Milano, Italy [Trade Name: BEM]",GR987-MJPEX,
bem,Arabic Power,,,,,em,,,,Arabic Power (em),new-model-existing-maker,arabic-power,low,,,5636,low,Unknown Manufacturer,,yes
bem,Black Gold,,versione “Arabic Power” testa piccola,,,,,,,Black Gold (versione “Arabic Power” testa piccola),new-model-existing-maker,black-gold-2,low,williams-electronics-incorporated,1975,305,low,"Genco Manufacturing Company, of Chicago, Illinois, USA (1931-1958)",G4qy6-MLvvd,yes
bem,Casino’,,testa piccola,,,,,,,Casino’ (testa piccola),exists,casino-5,high,bigliardini-elettronici-milano,,6710,high,"Bigliardini Elettronici Milano, of Milano, Italy [Trade Name: BEM]",G4xOz-MDnlX,
bem,Crocket,,,,,em,,,,Crocket (em),new-model-existing-maker,crocket,low,giorgio-massiero,1976,4105,med,"Giorgio Massiero, of Milan, Italy (1976)",GR00k-MLxN2,yes
bem,Dog’s Race,,,,,em,,,,Dog’s Race (em),exists,dogs-race,high,bigliardini-elettronici-milano,,5632,high,"Bigliardini Elettronici Milano, of Milano, Italy [Trade Name: BEM]",,
bem,Ascot,,,1976,,em,,,,Ascot (em),new-model-existing-maker,ascot,low,,,5965,low,Unknown Manufacturer,,yes
bem,Travel Agency,,,1976,,em,,,,Travel Agency (em),new-model-existing-maker,travel-agency,low,giorgio-massiero,1976,4106,med,"Giorgio Massiero, of Milan, Italy (1976)",,yes
bem,Sun’s Cruise,,versione “Travel Agency” testa piccola,1976,,,,,,Sun’s Cruise (versione “Travel Agency” testa piccola),exists,suns-cruise-2,high,bigliardini-elettronici-milano,1978,5671,high,"Bigliardini Elettronici Milano, of Milano, Italy [Trade Name: BEM]",,
bem,Urania,,testa piccola,1980,,,,,,Urania (testa piccola),new-model-existing-maker,,,,,,,,,
bem,Aliens & Women,,testa piccola,1980,,,,,,Aliens & Women (testa piccola),new-model-existing-maker,,,,,,,,,
bem,Aliens & Women,,testa normale,1980,,,,,,Aliens & Women (testa normale),new-model-existing-maker,,,,,,,,,
bem,Papillon,,,1985,,,,,,Papillon,new-model-existing-maker,papillon-2,low,video-dens-sa,1986,3934,low,"Jeutel, of France (1981-1986)",GRQEO-MLyPy,yes
bem,Casino’,,testa piccola,1985,,,,,,Casino’ (testa piccola),exists,casino-5,high,bigliardini-elettronici-milano,,6710,high,"Bigliardini Elettronici Milano, of Milano, Italy [Trade Name: BEM]",G4xOz-MDnlX,
bem,Aliens & Women,,testa normale,1985,,,,,,Aliens & Women (testa normale),new-model-existing-maker,,,,,,,,,
bem,Arabic Power,,,1985,,,,,,Arabic Power,new-model-existing-maker,arabic-power,low,,,5636,low,Unknown Manufacturer,,yes
bem,“Arabic Power” versione ‘testa normale’,,,1985,,,,,,“Arabic Power” versione ‘testa normale’,new-model-existing-maker,,,,,,,,,
bem,???,,year unknown – identified as manufactured by BEM thanks to Thierry Delisle,1985,,,,,,??? (year unknown – identified as manufactured by BEM thanks to Thierry Delisle),new-model-existing-maker,,,,,,,,,
bem,Ascot,,,1985,,,,,"(cavallini, anzi, cani, in movimento sotto al piano di gioco, come nel “Winner” Williams)",Ascot,new-model-existing-maker,ascot,low,,,5965,low,Unknown Manufacturer,,yes
bem,Crocket,,,1976,,em,1,,,Crocket – em – 1p,new-model-existing-maker,crocket,low,giorgio-massiero,1976,4105,med,"Giorgio Massiero, of Milan, Italy (1976)",GR00k-MLxN2,yes
bem,Jackpot,,,1976,,em,1,,,Jackpot – em – 1p,exists,jackpot-2,high,bigliardini-elettronici-milano,1976,4991,high,"Bigliardini Elettronici Milano, of Milano, Italy [Trade Name: BEM]",GR987-MJPEX,
bem,Black Jack,,,1976,,ss,,,(‘testa piccola’),Black Jack – ss (‘testa piccola’),new-model-existing-maker,black-jack-2,low,bally-manufacturing-corporation,1977,308,low,Williams Electronic Manufacturing Corporation (1958-1967) [Trade Name: Williams],G5nbD-MDyXb,yes
bem,Travel Agency,,,1976,,em,1,,,Travel Agency – em – 1p,new-model-existing-maker,travel-agency,low,giorgio-massiero,1976,4106,med,"Giorgio Massiero, of Milan, Italy (1976)",,yes
bem,Sun’s Cruise,,,1976,,ss,1,,(‘testa piccola’) | (stesso piano del “Travel Agency”),Sun’s Cruise – ss (‘testa piccola’) – 1p,exists,suns-cruise-2,high,bigliardini-elettronici-milano,1978,5671,high,"Bigliardini Elettronici Milano, of Milano, Italy [Trade Name: BEM]",,
bem,Jack Rabbit,,,1976,,ss,,,(‘testa piccola’),Jack Rabbit – ss (‘testa piccola’),exists,jack-rabbit-3,high,bigliardini-elettronici-milano,,5670,high,"Bigliardini Elettronici Milano, of Milano, Italy [Trade Name: BEM]",,
bem,Dog’s Race,,,1976,,em,1,,"(running dogs in the headbox, similar to Williams’ “Derby Day”)",Dog’s Race – em – 1p,exists,dogs-race,high,bigliardini-elettronici-milano,,5632,high,"Bigliardini Elettronici Milano, of Milano, Italy [Trade Name: BEM]",,
bem,Urania,,,1976,,,,,,Urania,new-model-existing-maker,,,,,,,,,
bensa,???,,year unknown – identified as manufactured by Bensa thanks to Thierry Delisle,,,,,,,??? (year unknown – identified as manufactured by Bensa thanks to Thierry Delisle),new-model-existing-maker,,,,,,,,,
bensa,Surf,,,,,em,1,,,Surf (1 player -em),new-model-existing-maker,,,,,,,,,
bensa,Surf,,,,,ss,1,,,Surf (1 player -ss),new-model-existing-maker,,,,,,,,,
bensa,Space Time,,,1973,,,,,,Space Time,exists,space-time-2,high,bensa-sas,1973,4062,high,"Bensa s.a.s., of Milan, Italy (1973-1974)",GRvE1-MQ2P6,
bensa,Wild Boy,,,1973,,,,,,Wild Boy,exists,wild-boy,high,bensa-sas,1974,4063,high,"Bensa s.a.s., of Milan, Italy (1973-1974)",,
bensa,Big Brave,,"grafica della testata ispirata dal Gottlieb, ma piano totalmente diverso",1974,,em,1,,,"Big Brave (grafica della testata ispirata dal Gottlieb, ma piano totalmente diverso) – em – 1p",exists,big-brave-2,high,bensa-sas,1974,4061,high,"Bensa s.a.s., of Milan, Italy (1973-1974)",GrXKb-MQ4OY,
bensa,Knokout,,,1974,,,,,,Knokout,exists,knokout,high,bensa-sas,1974,5270,high,"Bensa s.a.s., of Milan, Italy (1973-1974)",,
bensa,Jack in the box,,,1975,,,,,,Jack in the box,new-model-existing-maker,jack-in-the-box,low,d-gottlieb-company,1973,1277,low,D. Gottlieb & Company (1931-1977) [Trade Name: Gottlieb],Gr2JJ-MnKlB,yes
bensa,Sure Shot,,,1976,,,,,,Sure Shot,new-model-existing-maker,sure-shot-2,low,d-gottlieb-company,1976,2457,low,D. Gottlieb & Company (1931-1977) [Trade Name: Gottlieb],GrqL6-Mx07k,yes
bontempi,Action,,copy of game from Chicago Coin’s ?,,,,,,,Action (copy of game from Chicago Coin’s ?),new-maker,action-2,low,exhibit-supply-company,1943,15,low,Chicago Coin Machine Manufacturing Company (1932-1977),GrJQv-M2Yjq,yes
cea,Lucky Shot,,,1976,,ss,1,,(Enada V),Lucky Shot – ss – 1p (Enada V),exists,lucky-shot,high,costruzioni-elettroniche-automatiche,1978,3714,high,"Costruzioni Elettroniche Automatiche, of Bologna, Italy (1977-1979) [Trade Name: C.E.A.]",Gr2oD-MZell,
cea,Timothyt T.,,,1977,,em,1,,,Timothyt T. – em – 1p,new-model-existing-maker,,,,,,,,,
cea,Alpha 2001,,,1977,,ss,1,,,Alpha 2001 – ss – 1p,exists,alpha-2001,high,costruzioni-elettroniche-automatiche,1977,3688,high,"Costruzioni Elettroniche Automatiche, of Bologna, Italy (1977-1979) [Trade Name: C.E.A.]",GRLdW-MDOz8,
cea,Timothyt,,,1977,,ss,4,,,Timothyt – ss – 4p,exists,timothy-t,high,costruzioni-elettroniche-automatiche,1977,,,,GRBv3-MJ9xx,
cea,Fly Man,,,1978,,ss,1,,,Fly Man – ss – 1p,new-model-existing-maker,,,,,,,,,
cea,Satellite,,,1978,,ss,4,,,Satellite – ss – 4p,exists,satellite-2,high,costruzioni-elettroniche-automatiche,1978,3722,high,"Costruzioni Elettroniche Automatiche, of Bologna, Italy (1977-1979) [Trade Name: C.E.A.]",Grqwp-MQ626,
cea,Super Tris,,,1979,,ss,1,,,Super Tris – ss – 1p,exists,super-tris,high,costruzioni-elettroniche-automatiche,1979,3731,high,"Costruzioni Elettroniche Automatiche, of Bologna, Italy (1977-1979) [Trade Name: C.E.A.]",GRLpx-MJwxe,
cea,Three Aces,,,1979,,ss,4,,,Three Aces – ss – 4p,exists,three-aces,high,costruzioni-elettroniche-automatiche,1979,3734,high,"Costruzioni Elettroniche Automatiche, of Bologna, Italy (1977-1979) [Trade Name: C.E.A.]",,
ceff,Five Martians,,,,,,,,"*esistono almeno due versioni di questo flipper; una con le ruote dei punti, l’altra per i flipper a milioni (vedi depliant)",Five Martians,new-maker,,,,,,,,,
ceff,Joker Ball,,,,,,,,"*non e’ chiaro se e’ il nome di un secondo modello, o solo il nome di una caratteristica di gioco del “Five Martians”",Joker Ball,new-maker,joker-ball,low,midway-manufacturing-company,,5561,low,"Midway Manufacturing Company, of Chicago, Illinois, USA (1959-1978) [Trade Name: Midway]",,yes
centralmatic-lombarda,ZEUS,,,1979,,,,,"una copia, almeno nella grafica, dell’elettronico Williams “Flash”, strutturata per essere installata in un mobile Gottlieb’s, funzionante elettromeccanicamente (a parte i punteggi ed i suoni, tutti prodotti dalla scheda nella testata)",ZEUS (1979),exists,zeus,high,centralmatic-lombarda,1979,6674,high,"Centralmatic Lombarda, of Milano, Italy",,
dalla-pria-abm,Stellar Airship,,,,,,,,(art by Mike)(kit for em Gottliebs),Stellar Airship,new-maker,stellar-airship,low,geiger-automatenbau-gmbh,,4016,low,"Geiger-Automatenbau GmbH, of Germany (1978-1992)",GrN7J-MQj62,yes
dama,Grand Slam,,Ice Show,,,,,,,Grand Slam (Ice Show),new-model-existing-maker,grand-slam-10,low,,,1074,low,D. Gottlieb & Company (1931-1977) [Trade Name: Gottlieb],G4PL3-MLeBP,yes
dama,Golf,,grafica di Cortez,1970,yes,,,,,Golf (grafica di Cortez),new-model-existing-maker,golf-2,low,fabrica-de-aparatos-electro-mecanicos-recreativos-sl-ofmadrid,,6169,low,"Sport matic, S.A., of Barcelona, Spain",,yes
dama,Mexico 70,,grafica di Cortez,1970,yes,,,,,Mexico 70 (grafica di Cortez),new-model-existing-maker,,,,,,,,,
dama,Angels,,Rancho,1970,yes,,,,,Angels (Rancho),exists,angels,high,dama-srl,1970,4396,high,"Dama S.R.L., of Milan, Italy (1970)",,
dama,Basket,,Bazaar,1970,yes,,,,,Basket (Bazaar),exists,basket,high,dama-srl,,5852,high,"Dama S.R.L., of Milan, Italy (1970)",,
dama,Bookmaker’s,,Lunar Shot,1970,yes,,,,,Bookmaker’s (Lunar Shot),exists,bookmakers,high,dama-srl,1970,4397,high,"Dama S.R.L., of Milan, Italy (1970)",,
dama,Devil’s,,Rocket III,1970,yes,,,,,Devil’s (Rocket III),exists,devils,high,dama-srl,1970,4398,high,"Dama S.R.L., of Milan, Italy (1970)",,
dama,Frogmen,,Bazaar,1970,yes,,,,,Frogmen (Bazaar),exists,frogmen,high,dama-srl,1970,4399,high,"Dama S.R.L., of Milan, Italy (1970)",,
dama,Gold Beach,,,1970,yes,,,,,Gold Beach,new-model-existing-maker,,,,,,,,,
dama,Hippies,,Top Hand,1970,yes,,,,,Hippies (Top Hand),new-model-existing-maker,,,,,,,,,
dama,Hippye,,Top Hand | grafica di Cortez,1970,yes,,,,,Hippye (Top Hand)(grafica di Cortez),exists,hippye-2,high,dama-srl,,4818,high,"Dama S.R.L., of Milan, Italy (1970)",,
dama,Hippie,,Bally “Capersville” | grafica di Cortez,1970,yes,,,,,Hippie (Bally “Capersville”) (grafica di Cortez),new-model-existing-maker,,,,,,,,,
dama,Basket,,Bazaar,1970,yes,,,,,Basket (Bazaar),exists,basket,high,dama-srl,,5852,high,"Dama S.R.L., of Milan, Italy (1970)",,
dama,Book Makers,,,1970,yes,,,,,Book Makers,new-model-existing-maker,,,,,,,,,
dama,Flipper,,,1970,yes,,,,,Flipper,new-model-existing-maker,flipper-2,low,smith-manufacturing-company,1932,891,low,D. Gottlieb & Company (1931-1977) [Trade Name: Gottlieb],GrNXw-MLOYP,yes
dama,O.K. Corral,,,1970,yes,,,,,O.K. Corral,new-model-existing-maker,,,,,,,,,
dama,Novelty,,,1970,yes,,,,,Novelty,new-model-existing-maker,,,,,,,,,
dama,Player,,,1970,yes,,,,,Player,new-model-existing-maker,,,,,,,,,
dama,Ponies,,,1970,yes,,,,,Ponies,new-model-existing-maker,ponies,low,western-equipment-supply-company,1936,1845,low,"Western Equipment & Supply Company, of Chicago, Illinois, USA (1934-1938)",,yes
dama,World Star,,,1970,yes,,,,,World Star,exists,world-star,high,dama-srl,1970,4405,high,"Dama S.R.L., of Milan, Italy (1970)",,
dama,Las Vegas,,Solitaire,1970,yes,,,,,Las Vegas (Solitaire),exists,las-vegas-3,high,dama-srl,1970,4068,high,"Dama S.R.L., of Milan, Italy (1970)",G4Jzo-MQ7jl,
dama,Mondial Bank,,Harmony,1970,yes,,,,,Mondial Bank (Harmony),exists,mondial-bank,high,dama-srl,1970,4069,high,"Dama S.R.L., of Milan, Italy (1970)",,
dama,New City,,Big Strike,1970,yes,,,,,New City (Big Strike),exists,new-city,high,dama-srl,1970,4401,high,"Dama S.R.L., of Milan, Italy (1970)",,
dama,Play Time,,Ice Show,1970,yes,,,,,Play Time (Ice Show),exists,play-time-2,high,dama-srl,1970,4402,high,"Dama S.R.L., of Milan, Italy (1970)",G5Koz-M61e0,
dama,Rally,,Elite Guard,1970,yes,,,,,Rally (Elite Guard),exists,rally,high,dama-srl,1970,4067,high,"Dama S.R.L., of Milan, Italy (1970)",,
dama,Road,,Electra Pool,1970,yes,,,,,Road (Electra Pool),exists,road,high,dama-srl,1970,4403,high,"Dama S.R.L., of Milan, Italy (1970)",,
dama,Spider,,Hurdy Gurdy,1970,yes,,,,,Spider (Hurdy Gurdy),exists,spider,high,dama-srl,,4404,high,"Dama S.R.L., of Milan, Italy (1970)",GRpYQ-MkPd9,
dama,Western,,Subway,1970,yes,,,,,Western (Subway),exists,western-2,high,dama-srl,1970,4066,high,"Dama S.R.L., of Milan, Italy (1970)",,
dama,World Star,,Magic Town,1970,yes,,,,,World Star (Magic Town),exists,world-star,high,dama-srl,1970,4405,high,"Dama S.R.L., of Milan, Italy (1970)",,
dama,Jolly,,Hurdy Gurdy,1970,yes,,,,,Jolly (Hurdy Gurdy),exists,jolly-2,high,dama-srl,,6837,high,"Dama S.R.L., of Milan, Italy (1970)",,
eagle,Lucky Card,,,,,,,,"una copia del Gottlieb’s “Lucky Card”, strutturata per essere installata in mobili Williams",Lucky Card,exists,lucky-card-2,high,eagle,,5657,high,"Eagle, of Italy",GrPpb-MLEk7,
egs,New York Defence,,vid-pinball,1981,,,,,,New York Defence (vid-pinball),exists,new-york-defence,high,electronic-games-systems-srl,1981,3920,high,"Electronic Games Systems S.R.L., of Fano, Italy(1981) [Trade Name: E. G. S.]",,
elbos,Sea Devil,,,1982,,ss,4,,,Sea Devil – ss – 4p,exists,sea-devil,high,elbos-electronics,,6386,high,"Elbos Electronics, of Italy",,
elbos,Genesis,,,1982,,ss,4,,,Genesis – ss – 4p,exists,genesis-2,high,elbos-electronics,1982,5179,high,"Elbos Electronics, of Italy",Gr2wz-MLBob,
elettronolo,Calcio Italia,,prima serie con lanciabiglia manuale,1965,,em,2,,,Calcio Italia (prima serie con lanciabiglia manuale) – em – 2p,new-model-existing-maker,,,,,,,,,
elettronolo,Calcio Italia,,seconda serie con testatina,1966,,em,2,,(same cabinet graphics as rare Bally’s “Boot-a-Ball”),Calcio Italia (seconda serie con testatina) – em – 2p,new-model-existing-maker,,,,,,,,,
elettronolo,Casino’,,,1966,,,,,,Casino’,exists,casino-3,high,elettrocoin,1965,3964,high,"Elettrocoin, of Firenze (Florence), Italy (1965-1970)",G4xOz-MDnlX,
elettronolo,Derby,,kit for Bally’s Gold Rush,1970,,,,,,Derby (kit for Bally’s Gold Rush),exists,derby-3,high,elettrocoin,1970,4075,high,"Elettrocoin, of Firenze (Florence), Italy (1965-1970)",G43O1-MJ51E,
elettronolo,Selen Cup,,head to head | date: 7-6-1969,1969,,,,,,Selen Cup (head to head) (date: 7-6-1969),exists,selen-cup,high,elettrocoin,1969,3977,high,"Elettrocoin, of Firenze (Florence), Italy (1965-1970)",,
elettronolo,Good Year,,kit for Williams’ Lunar Shot,1969,,,,,,Good Year (kit for Williams’ Lunar Shot),exists,good-year,high,elettrocoin,1969,4071,high,"Elettrocoin, of Firenze (Florence), Italy (1965-1970)",,
elettronolo,Macao,,,1968,,,,,,Macao,exists,macao,high,elettrocoin,1968,3966,high,"Elettrocoin, of Firenze (Florence), Italy (1965-1970)",,
elettronolo,Rose & Can Can,,,1968,,,,,,Rose & Can Can,exists,rose-can-can,high,elettrocoin,1968,4073,high,"Elettrocoin, of Firenze (Florence), Italy (1965-1970)",,
elettronolo,Mexico,,kit for Bally’s Rocket III,1970,,,,,,Mexico (kit for Bally’s Rocket III),exists,mexico-3,high,elettrocoin,1970,4074,high,"Elettrocoin, of Firenze (Florence), Italy (1965-1970)",,
