entity_ref,field,value,ref,quote,note
model.dark-shadow,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Dark Shadow – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.f1-grand-prix,year,1987,https://www.tilt.it/flipper_pinball/ipdb/bell-games,F1 Grand Prix – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.f1-grand-prix,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,F1 Grand Prix – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.f1-grand-prix,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/bell-games,F1 Grand Prix – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.fantasy,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Fantasy (Centaur) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.fireball-ii-2,year,1981,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Fireball II – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.fireball-ii-2,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Fireball II – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.fireball-ii-2,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Fireball II – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.flash-gordon-2,year,1981,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Flash Gordon – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.flash-gordon-2,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Flash Gordon – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.flash-gordon-2,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Flash Gordon – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.frontier-2,year,1981,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Frontier – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.frontier-2,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Frontier – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.frontier-2,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Frontier – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.future-queen,year,1987,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Future Queen – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.future-queen,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Future Queen – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.future-queen,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Future Queen – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.king,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,The King – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.magic-picture-pin-2,year,1982,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Magic Picture Pin (co-production Arkon/Ranco/Bell Games) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.magic-picture-pin-2,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Magic Picture Pin (co-production Arkon/Ranco/Bell Games) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.magic-picture-pin-2,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Magic Picture Pin (co-production Arkon/Ranco/Bell Games) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.new-wave,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,New Wave (Black Pyramid) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.pin-ball-pool,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Pinball Pool (Eight Ball De Luxe) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.pinball,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Pin Ball (Pinball Champ '82) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.saturn-2,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Saturn II (Spy Hunter) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.sexy-girl,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Sexy Girl – ss – 4p (co-production Arkon/Ranco/Bell Games),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.skill-flight,year,1986,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Skill Flight – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.skill-flight,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Skill Flight – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.skill-flight,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Skill Flight – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.space-hawks,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Space Hawks (Cybernaut) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.super-bowl,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Super Bowl (X's & O's) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.the-hunter,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,The Hunter – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.tiger-rag,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Tiger Rag (King of Steel) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.top-pin,year,1988,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Top Pin (Pinbot) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.top-pin,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Top Pin (Pinbot) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.top-pin,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Top Pin (Pinbot) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.u-boat-65,year,1988,https://www.tilt.it/flipper_pinball/ipdb/bell-games,U-Boat 65 – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.u-boat-65,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,U-Boat 65 – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.u-boat-65,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/bell-games,U-Boat 65 – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.white-shark,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,White Shark – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.world-defender,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,World Defender – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.arabic-power,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/bem,Arabic Power (em),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.ascot,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/bem,Ascot (em),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.crocket,year,1976,https://www.tilt.it/flipper_pinball/ipdb/bem,Crocket – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.crocket,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/bem,Crocket – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.crocket,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/bem,Crocket – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.dogs-race,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/bem,Dog's Race – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.dogs-race,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/bem,Dog's Race – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.jack-rabbit-3,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bem,Jack Rabbit – ss ('testa piccola'),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.jackpot-2,year,1976,https://www.tilt.it/flipper_pinball/ipdb/bem,Jackpot – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.jackpot-2,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/bem,Jackpot – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.jackpot-2,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/bem,Jackpot – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.suns-cruise-2,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bem,Sun's Cruise – ss ('testa piccola') – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.travel-agency,year,1976,https://www.tilt.it/flipper_pinball/ipdb/bem,Travel Agency – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.travel-agency,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/bem,Travel Agency – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.travel-agency,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/bem,Travel Agency – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.big-brave-2,year,1974,https://www.tilt.it/flipper_pinball/ipdb/bensa,"Big Brave (grafica della testata ispirata dal Gottlieb, ma piano totalmente diverso) – em – 1p",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.big-brave-2,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/bensa,"Big Brave (grafica della testata ispirata dal Gottlieb, ma piano totalmente diverso) – em – 1p",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.big-brave-2,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/bensa,"Big Brave (grafica della testata ispirata dal Gottlieb, ma piano totalmente diverso) – em – 1p",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.knokout,year,1974,https://www.tilt.it/flipper_pinball/ipdb/bensa,Knokout,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.space-time-2,year,1973,https://www.tilt.it/flipper_pinball/ipdb/bensa,Space Time,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.alpha-2001,year,1977,https://www.tilt.it/flipper_pinball/ipdb/cea,Alpha 2001 – ss – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.alpha-2001,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/cea,Alpha 2001 – ss – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.alpha-2001,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/cea,Alpha 2001 – ss – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.lucky-shot,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/cea,Lucky Shot – ss – 1p (Enada V),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.lucky-shot,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/cea,Lucky Shot – ss – 1p (Enada V),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.satellite-2,year,1978,https://www.tilt.it/flipper_pinball/ipdb/cea,Satellite – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.satellite-2,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/cea,Satellite – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.satellite-2,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/cea,Satellite – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.super-tris,year,1979,https://www.tilt.it/flipper_pinball/ipdb/cea,Super Tris – ss – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.super-tris,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/cea,Super Tris – ss – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.super-tris,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/cea,Super Tris – ss – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.three-aces,year,1979,https://www.tilt.it/flipper_pinball/ipdb/cea,Three Aces – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.three-aces,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/cea,Three Aces – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.three-aces,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/cea,Three Aces – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.timothy-t,year,1977,https://www.tilt.it/flipper_pinball/ipdb/cea,Timothyt – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.timothy-t,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/cea,Timothyt – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.timothy-t,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/cea,Timothyt – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.timothy-t-2,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/cea,Timothyt T. – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.timothy-t-2,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/cea,Timothyt T. – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.zeus,year,1979,https://www.tilt.it/flipper_pinball/ipdb/centralmatic-lombarda,ZEUS (1979),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.angels,year,1970,https://www.tilt.it/flipper_pinball/ipdb/dama,Angels (Rancho),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.bookmakers,year,1970,https://www.tilt.it/flipper_pinball/ipdb/dama,Bookmaker's (Lunar Shot),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.devils,year,1970,https://www.tilt.it/flipper_pinball/ipdb/dama,Devil's (Rocket III),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.frogmen,year,1970,https://www.tilt.it/flipper_pinball/ipdb/dama,Frogmen (Bazaar),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.hippy,year,1970,https://www.tilt.it/flipper_pinball/ipdb/dama,Hippies (Top Hand),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.las-vegas-3,year,1970,https://www.tilt.it/flipper_pinball/ipdb/dama,Las Vegas (Solitaire),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.mondial-bank,year,1970,https://www.tilt.it/flipper_pinball/ipdb/dama,Mondial Bank (Harmony),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.new-city,year,1970,https://www.tilt.it/flipper_pinball/ipdb/dama,New City (Big Strike),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.play-time-2,year,1970,https://www.tilt.it/flipper_pinball/ipdb/dama,Play Time (Ice Show),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.rally,year,1970,https://www.tilt.it/flipper_pinball/ipdb/dama,Rally (Elite Guard),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.road,year,1970,https://www.tilt.it/flipper_pinball/ipdb/dama,Road (Electra Pool),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.western-2,year,1970,https://www.tilt.it/flipper_pinball/ipdb/dama,Western (Subway),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.world-star,year,1970,https://www.tilt.it/flipper_pinball/ipdb/dama,World Star,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.new-york-defence,year,1981,https://www.tilt.it/flipper_pinball/ipdb/egs,New York Defence (vid-pinball),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.genesis-2,year,1982,https://www.tilt.it/flipper_pinball/ipdb/elbos,Genesis – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.genesis-2,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/elbos,Genesis – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.genesis-2,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/elbos,Genesis – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.sea-devil,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/elbos,Sea Devil – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.sea-devil,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/elbos,Sea Devil – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.calcio-italia-1st-series,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/elettronolo,Calcio Italia (prima serie con lanciabiglia manuale) – em – 2p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.calcio-italia-1st-series,player_count,2,https://www.tilt.it/flipper_pinball/ipdb/elettronolo,Calcio Italia (prima serie con lanciabiglia manuale) – em – 2p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.calcio-italia-2nd-series,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/elettronolo,Calcio Italia (seconda serie con testatina) – em – 2p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.calcio-italia-2nd-series,player_count,2,https://www.tilt.it/flipper_pinball/ipdb/elettronolo,Calcio Italia (seconda serie con testatina) – em – 2p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.derby-3,year,1970,https://www.tilt.it/flipper_pinball/ipdb/elettronolo,Derby (kit for Bally's Gold Rush),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.good-year,year,1969,https://www.tilt.it/flipper_pinball/ipdb/elettronolo,Good Year (kit for Williams' Lunar Shot),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.macao,year,1968,https://www.tilt.it/flipper_pinball/ipdb/elettronolo,Macao,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.mexico-3,year,1970,https://www.tilt.it/flipper_pinball/ipdb/elettronolo,Mexico (kit for Bally's Rocket III),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.night-club-2,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/elettronolo,Night Club – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.night-club-2,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/elettronolo,Night Club – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.rose-can-can,year,1968,https://www.tilt.it/flipper_pinball/ipdb/elettronolo,Rose & Can Can,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.scala-reale,year,1970,https://www.tilt.it/flipper_pinball/ipdb/elettronolo,Scala Reale,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.selen-cup,year,1969,https://www.tilt.it/flipper_pinball/ipdb/elettronolo,Selen Cup (head to head) (date: 7-6-1969),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.summer-time-4,year,1970,https://www.tilt.it/flipper_pinball/ipdb/elettronolo,Summer Time (kit for Gottliebs' Solitaire – Hit a card),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.card-whiz-2,year,1976,https://www.tilt.it/flipper_pinball/ipdb/europlay,Card Whiz – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.card-whiz-2,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/europlay,Card Whiz – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.card-whiz-2,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/europlay,Card Whiz – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.dragon-6,year,1979,https://www.tilt.it/flipper_pinball/ipdb/europlay,Dragon – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.dragon-6,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/europlay,Dragon – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.dragon-6,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/europlay,Dragon – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.el-dorado-3,year,1976,https://www.tilt.it/flipper_pinball/ipdb/europlay,"El Dorado – em – 1p (esiste con vetro marcato ""Europlay"", ma anche con vetro marcato ""RMG"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.el-dorado-3,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/europlay,"El Dorado – em – 1p (esiste con vetro marcato ""Europlay"", ma anche con vetro marcato ""RMG"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.el-dorado-3,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/europlay,"El Dorado – em – 1p (esiste con vetro marcato ""Europlay"", ma anche con vetro marcato ""RMG"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.red-arrow-3,year,1978,https://www.tilt.it/flipper_pinball/ipdb/europlay,Red Arrow – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.red-arrow-3,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/europlay,Red Arrow – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
