page,name,name_uncertain,parens,year,year_uncertain,tech,players,prod,notes,raw_line,disposition,catalog_slug,catalog_conf,catalog_maker,catalog_year,ipdb_id,ipdb_conf,ipdb_maker,opdb_id,review,verdict,verdict_why,final_catalog_slug,agent_fields,lineage,conflict,quote
bell-games,Sinbad,,co-production Europlay/Bell Games,1979,,ss,4,,,Sinbad (co-production Europlay/Bell Games) – ss – 4p,new-model-existing-maker,sinbad-3,low,electromatic-brasil,1978,2159,low,"D. Gottlieb & Company, a Columbia Pictures Industries Company (1977-1983)[Trade Name: Gottlieb]",G4xqN-MD1Rj,yes,create,,,"{""name"": ""Sinbad"", ""year"": 1979, ""year_uncertain"": true, ""year_note"": ""tilt says 1979; IPDB dates Bell Games as 1980-1985, so 1979 may be early/pre-founding"", ""technology"": ""ss"", ""players"": 4, ""month"": null, ""game_format"": ""pinball"", ""kit"": false, ""lineage"": ""4-player solid-state co-production by Europlay and Bell Games; copy of Gottlieb's 1978 'Sinbad' (ipdb 2159); sibling of Europlay's 1-player EM 'Sinbad Adventures' (catalog sinbad-adventures, ipdb 3252).""}","4-player solid-state co-production by Europlay and Bell Games; copy of Gottlieb's 1978 'Sinbad' (ipdb 2159); sibling of Europlay's 1-player EM 'Sinbad Adventures' (catalog sinbad-adventures, ipdb 3252).",,Sinbad (co-production Europlay/Bell Games) – ss – 4p
bell-games,Sexy Girl,,,1979,,ss,4,,(co-production Arkon/Ranco/Bell Games),Sexy Girl – ss – 4p (co-production Arkon/Ranco/Bell Games),new-model-existing-maker,sexy-girl,low,arkon-automaten-gmbh,,2106,low,"Arkon Automaten, GmbH, of Frankfurt, Germany (1980-1982)",GrkOB-MD00x,yes,exists,"Same machine as catalog 'Sexy Girl' (arkon-automaten-gmbh, ipdb 2106, SS 4P) - a conversion kit for Bally electronic pins with Playboy playfield layout. Tilt lists it on the Bell Games page as a co-production (Arkon/Ranco/Bell Games), not a separate Bell Games model.",sexy-girl,,,,
bell-games,The Hunter,,,1980,,ss,4,,,The Hunter – ss – 4p,exists,the-hunter,high,bell-coin-matics,,3733,high,"Bell Coin Matics, of Bologna, Italy (1978-1980)",G4Od9-MDlpK,,exists,parser high-confidence match,the-hunter,,,,
bell-games,White Shark,,,1980,,ss,4,,,White Shark – ss – 4p,exists,white-shark,high,bell-coin-matics,,3555,high,"Bell Coin Matics, of Bologna, Italy (1978-1980)",G509D-M9RzK,,exists,parser high-confidence match,white-shark,,,,
bell-games,Cosmodrome,,,1980,,ss,4,,,Cosmodrome – ss – 4p,exists,cosmodrome,high,bell-coin-matics,,3696,high,"Bell Coin Matics, of Bologna, Italy (1978-1980)",G509D-MnKVN,,exists,parser high-confidence match,cosmodrome,,,,
bell-games,Frontier,,,1981,,ss,4,,,Frontier – ss – 4p,exists,frontier-2,high,bell-games,1981,3706,high,"Bell Games, of Bologna, Italy (1980-1985)",GRwjq-MQ29Y,,exists,parser high-confidence match,frontier-2,,,,
bell-games,Fireball II,,,1981,,ss,4,,,Fireball II – ss – 4p,exists,fireball-ii-2,high,bell-games,1981,3704,high,"Bell Games, of Bologna, Italy (1980-1985)",Gry7q-MLyvr,,exists,parser high-confidence match,fireball-ii-2,,,,
bell-games,Flash Gordon,,,1981,,ss,4,,,Flash Gordon – ss – 4p,exists,flash-gordon-2,high,bell-games,1981,3705,high,"Bell Games, of Bologna, Italy (1980-1985)",G5728-MDbjD,,exists,parser high-confidence match,flash-gordon-2,,,,
bell-games,Fantasy,,Centaur,1982,,ss,4,,,Fantasy (Centaur) – ss – 4p,exists,fantasy,high,bell-games,,3091,high,"Bell Games, of Bologna, Italy (1980-1985)",GrX7q-MJop6,,exists,parser high-confidence match,fantasy,,,,
bell-games,Magic Picture Pin,,co-production Arkon/Ranco/Bell Games,1982,,ss,4,,,Magic Picture Pin (co-production Arkon/Ranco/Bell Games) – ss – 4p,exists,magic-picture-pin-2,high,bell-games,1982,3891,high,"Bell Games, of Bologna, Italy (1980-1985)",GRD2P-MQknK,,exists,parser high-confidence match,magic-picture-pin-2,,,,
bell-games,Pin Ball,,Pinball Champ ’82,1983,,ss,4,,,Pin Ball (Pinball Champ ’82) – ss – 4p,new-model-existing-maker,pin-ball-2,low,joctronic-juegos-electronicos-sa,1987,3805,low,"Recel S. A., of Madrid, Spain (1974-1986)",,yes,exists,"Tilt 'Pin Ball' = catalog 'Pinball' (bell-games, ipdb 3306, Bell Games 1983-02 SS 4P): IPDB Notes: 'Same play as Zaccaria's 1982 Pinball Champ 82... Bell Games made some of their conversion kits available for converting both Gottlieb and Bally games.' Worksheet's pin-ball-2 (Joctronic, ipdb 3906) guess is wrong.",pinball,,Conversion kit; same play as Zaccaria's 1982 'Pinball Champ 82'.,,
bell-games,Pinball Pool,,Eight Ball De Luxe,1983,,ss,4,,,Pinball Pool (Eight Ball De Luxe) – ss – 4p,new-model-existing-maker,pinball-pool,low,d-gottlieb-company-a-columbia-pictures-industries-company,1979,1795,low,"D. Gottlieb & Company, a Columbia Pictures Industries Company (1977-1983)[Trade Name: Gottlieb]",G4kdB-MLqe3,yes,exists,"Tilt 'Pinball Pool' = catalog 'Pin Ball Pool' (bell-games, ipdb 3310, Bell Games 1983-12 SS 4P): IPDB Notes: 'This is a conversion kit for Bally's 1981 Eight Ball Deluxe and uses the same ROMs.' Worksheet's pinball-pool (Gottlieb, ipdb 1795) guess is the American original - wrong.",pin-ball-pool,,"Conversion kit for Bally's 1981 'Eight Ball Deluxe' (ipdb 762), same ROMs.",,
bell-games,Cosmic Flash,,,1984,,ss,4,,,Cosmic Flash – ss – 4p,exists,cosmic-flash-2,high,bell-games,1984,3695,high,"Bell Games, of Bologna, Italy (1980-1985)",G5pxD-MBRWW,,exists,parser high-confidence match,cosmic-flash-2,,,,
bell-games,Super Bowl,,X’s & O’s,1984,,ss,4,,,Super Bowl (X’s & O’s) – ss – 4p,exists,super-bowl,high,bell-games,,3399,high,"Bell Games, of Bologna, Italy (1980-1985)",GRpWD-MQork,,exists,parser high-confidence match,super-bowl,,,,
bell-games,Tiger Rag,,King of Steel,1984,,ss,4,,,Tiger Rag (King of Steel) – ss – 4p,exists,tiger-rag,high,bell-games,,3501,high,"Bell Games, of Bologna, Italy (1980-1985)",GR67j-MLqwr,,exists,parser high-confidence match,tiger-rag,,,,
bell-games,New Wave,,Black Pyramid,1985,,ss,4,,,New Wave (Black Pyramid) – ss – 4p,exists,new-wave,high,bell-games,,3482,high,"Bell Games, of Bologna, Italy (1980-1985)",GRB8Z-MQKXV,,exists,parser high-confidence match,new-wave,,,,
bell-games,Saturn II,,Spy Hunter,1985,,ss,4,,,Saturn II (Spy Hunter) – ss – 4p,new-model-existing-maker,,,,,,,,,,exists,"Roman-numeral variant of catalog 'Saturn 2' (bell-games, ipdb 3542, 1985-08 SS 4P). IPDB Notes: 'This is a conversion of Bally Midway's 1984 Spy Hunter.'",saturn-2,,Conversion of Bally Midway's 1984 'Spy Hunter' (ipdb 2328).,,
bell-games,World Defender,,,1985,,ss,4,,,World Defender – ss – 4p,exists,world-defender,high,nuova-bell-games,,3519,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",GR9NQ-MRjop,,exists,parser high-confidence match,world-defender,,,,
bell-games,Space Hawks,,Cybernaut,1986,,ss,4,,,Space Hawks (Cybernaut) – ss – 4p,exists,space-hawks,high,nuova-bell-games,,3621,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",GR69j-MdEEB,,exists,parser high-confidence match,space-hawks,,,,
bell-games,Dark Shadow,,,1986,,ss,4,,,Dark Shadow – ss – 4p,exists,dark-shadow,high,nuova-bell-games,1986,3699,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",G4eQ2-MJNO7,,exists,parser high-confidence match,dark-shadow,,,,
bell-games,Skill Flight,,,1986,,ss,4,,,Skill Flight – ss – 4p,exists,skill-flight,high,nuova-bell-games,1986,3230,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",GRb7q-MDEn7,,exists,parser high-confidence match,skill-flight,,,,
bell-games,Cobra,,,1987,,ss,4,,,Cobra – ss – 4p,exists,cobra,high,nuova-bell-games,1987,3026,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",G50zO-MJ97Z,,exists,parser high-confidence match,cobra,,,,
bell-games,Future Queen,,,1987,,ss,4,,,Future Queen – ss – 4p,exists,future-queen,high,nuova-bell-games,1987,3114,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",GRpBV-MrRbE,,exists,parser high-confidence match,future-queen,,,,
bell-games,F1 Grand Prix,,,1987,,ss,4,,,F1 Grand Prix – ss – 4p,exists,f1-grand-prix,high,nuova-bell-games,1987,3623,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",G4Oye-MQPw8,,exists,parser high-confidence match,f1-grand-prix,,,,
bell-games,Top Pin,,Pinbot,1988,,ss,4,,,Top Pin (Pinbot) – ss – 4p,exists,top-pin,high,nuova-bell-games,1988,3471,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",,,exists,parser high-confidence match,top-pin,,,,
bell-games,U-Boat 65,,,1988,,ss,4,,,U-Boat 65 – ss – 4p,exists,u-boat-65,high,nuova-bell-games,1988,3736,high,"Nuova Bell Games, of Bologna, Italy (1985-1988)",GRD67-Mo1Ol,,exists,parser high-confidence match,u-boat-65,,,,
bem,(anno preciso di costruzione sconosciuto),,,,,,,,,(anno preciso di costruzione sconosciuto),new-model-existing-maker,,,,,,,,,,noise,"Section header, not a machine: 'exact year of construction unknown'. It governs the first undated group (Jackpot, Arabic Power, Black Gold, Casino', Crocket, Dog's Race) — useful as a year-unknown signal for those entries, but not a row to act on.",,,,,
bem,Jackpot,,identico a quello costruito dalla Playmec?,,,em,,,,Jackpot (em) (identico a quello costruito dalla Playmec?),exists,jackpot-2,high,bigliardini-elettronici-milano,1976,4991,high,"Bigliardini Elettronici Milano, of Milano, Italy [Trade Name: BEM]",GR987-MJPEX,,exists,parser high-confidence match,jackpot-2,,,,
bem,Arabic Power,,,,,em,,,,Arabic Power (em),new-model-existing-maker,arabic-power,low,,,5636,low,Unknown Manufacturer,,yes,exists,"Catalog already has model 'arabic-power' with ipdb_id 5636 and NO corporate entity. This row is an attribution/enrichment task (assert maker=BEM, technology=em, kit), not a create.",arabic-power,,Conversion kit of an unknown Gottlieb game (per IPDB 5636); original not identified.,,
bem,Black Gold,,versione “Arabic Power” testa piccola,,,,,,,Black Gold (versione “Arabic Power” testa piccola),new-model-existing-maker,black-gold-2,low,williams-electronics-incorporated,1975,305,low,"Genco Manufacturing Company, of Chicago, Illinois, USA (1931-1958)",G4qy6-MLvvd,yes,create,,,"{""name"": ""Black Gold"", ""maker_ce"": ""bem (dump: bigliardini-elettronici-milano)"", ""year"": null, ""year_uncertain"": true, ""technology"": null, ""technology_note"": ""Arabic Power is em per tilt, but BEM's other 'testa piccola' machines are ss (IPDB: Casino 6710, Jack Rabbit 5670, Sun's Cruise 5671 all SS) — leave unstated"", ""players"": null, ""month"": null, ""game_format"": null, ""kit"": null, ""kit_note"": ""likely a kit like its parent Arabic Power (IPDB 5636 calls that a conversion kit) — unconfirmed"", ""lineage"": ""Small-head ('testa piccola') version of BEM's own 'Arabic Power' (tilt: 'versione “Arabic Power” testa piccola'); Arabic Power itself is per IPDB 5636 a conversion kit of an unknown Gottlieb game.""}",Small-head ('testa piccola') version of BEM's own 'Arabic Power' (tilt: 'versione “Arabic Power” testa piccola'); Arabic Power itself is per IPDB 5636 a conversion kit of an unknown Gottlieb game.,,"Black Gold (versione ""Arabic Power"" testa piccola)"
bem,Casino’,,testa piccola,,,,,,,Casino’ (testa piccola),exists,casino-5,high,bigliardini-elettronici-milano,,6710,high,"Bigliardini Elettronici Milano, of Milano, Italy [Trade Name: BEM]",G4xOz-MDnlX,,exists,parser high-confidence match,casino-5,,,,
bem,Crocket,,,,,em,,,,Crocket (em),new-model-existing-maker,crocket,low,giorgio-massiero,1976,4105,med,"Giorgio Massiero, of Milan, Italy (1976)",GR00k-MLxN2,yes,exists,"Same machine as catalog 'crocket' (CE giorgio-massiero, ipdb 4105, 1976, EM, 1p). tilt's BEM page header names 'Sig. Giorgio Masiero - Milano, Italy' as BEM's principal; IPDB's 'Giorgio Massiero, of Milan, Italy (1976)' is that same person. Not a create — at most a maker-reconciliation note.",crocket,,,,
bem,Dog’s Race,,,,,em,,,,Dog’s Race (em),exists,dogs-race,high,bigliardini-elettronici-milano,,5632,high,"Bigliardini Elettronici Milano, of Milano, Italy [Trade Name: BEM]",,,exists,parser high-confidence match,dogs-race,,,,
bem,Ascot,,,1976,,em,,,,Ascot (em),new-model-existing-maker,ascot,low,,,5965,low,Unknown Manufacturer,,yes,exists,"Catalog already has model 'ascot' with ipdb_id 5965 and NO corporate entity. Attribution/enrichment task: assert maker=BEM, year=1976 (tilt list header), technology=em.",ascot,,"IPDB 5965: 'The playfield layout is similar to Gottlieb's 1971 Home Run' (Gottlieb Home Run, ipdb 1224). tilt adds an animation feature: 'cavallini, anzi, cani, in movimento sotto al piano di gioco, come nel “Winner” Williams' — moving dogs under the playfield as in Williams' 1971 'Winner' (ipdb 2792).",,
bem,Travel Agency,,,1976,,em,,,,Travel Agency (em),new-model-existing-maker,travel-agency,low,giorgio-massiero,1976,4106,med,"Giorgio Massiero, of Milan, Italy (1976)",,yes,exists,"Same machine as catalog 'travel-agency' (CE giorgio-massiero, ipdb 4106, 1976, EM, 1p) — same Masiero/Massiero identity as Crocket.",travel-agency,,,,
bem,Sun’s Cruise,,versione “Travel Agency” testa piccola,1976,,,,,,Sun’s Cruise (versione “Travel Agency” testa piccola),exists,suns-cruise-2,high,bigliardini-elettronici-milano,1978,5671,high,"Bigliardini Elettronici Milano, of Milano, Italy [Trade Name: BEM]",,,exists,parser high-confidence match,suns-cruise-2,,,,
bem,Urania,,testa piccola,1980,,,,,,Urania (testa piccola),new-model-existing-maker,,,,,,,,,,create,,,"{""name"": ""Urania"", ""maker_ce"": ""bem (dump: bigliardini-elettronici-milano)"", ""year"": 1980, ""year_uncertain"": true, ""year_note"": ""Current tilt page lists Urania under the '1980' header; the legacy itmade.htm entry had '(?) Urania' (year unknown)"", ""technology"": null, ""technology_note"": ""'testa piccola' machines at BEM are otherwise ss — plausible but unstated"", ""players"": null, ""month"": null, ""game_format"": null, ""kit"": null, ""lineage"": null}",,,Urania (testa piccola)
bem,Aliens & Women,,testa piccola,1980,,,,,,Aliens & Women (testa piccola),new-model-existing-maker,,,,,,,,,,create,,,"{""name"": ""Aliens & Women"", ""maker_ce"": ""bem (dump: bigliardini-elettronici-milano)"", ""year"": 1980, ""year_uncertain"": true, ""technology"": null, ""technology_note"": ""1980 + testa piccola suggests ss; not stated by source"", ""players"": null, ""month"": null, ""game_format"": null, ""kit"": null, ""lineage"": null, ""versions"": ""Page lists both 'testa piccola' and 'testa normale' versions under 1980 — create ONE model and record the two headbox versions""}",,,Aliens & Women (testa piccola)
bem,Aliens & Women,,testa normale,1980,,,,,,Aliens & Women (testa normale),new-model-existing-maker,,,,,,,,,,noise,"Same-model second headbox version, listed on the same 1980 line as the 'testa piccola' version. Fold into the single 'Aliens & Women' create as a version note; not a distinct machine.",,,,,
bem,Papillon,,,1985,,,,,,Papillon,new-model-existing-maker,papillon-2,low,video-dens-sa,1986,3934,low,"Jeutel, of France (1981-1986)",GRQEO-MLyPy,yes,create,,,"{""name"": ""Papillon"", ""maker_ce"": ""bem (dump: bigliardini-elettronici-milano)"", ""year"": 1985, ""year_uncertain"": false, ""technology"": null, ""technology_note"": ""1985 implies ss; not stated by source"", ""players"": null, ""month"": null, ""game_format"": null, ""kit"": null, ""lineage"": null, ""lineage_note"": ""Name coincides with Jeutel's 1984 'Papillon' (ipdb 3934, SS, France) and Video Dens' 1986 'Papillon' (ipdb 5763, Spain) — a copy/licensing relationship is plausible for a 1985 Italian machine but is NOT documented anywhere; record nothing""}",,,Papillon
bem,Casino’,,testa piccola,1985,,,,,,Casino’ (testa piccola),exists,casino-5,high,bigliardini-elettronici-milano,,6710,high,"Bigliardini Elettronici Milano, of Milano, Italy [Trade Name: BEM]",G4xOz-MDnlX,,exists,parser high-confidence match,casino-5,,,,
bem,Aliens & Women,,testa normale,1985,,,,,,Aliens & Women (testa normale),new-model-existing-maker,,,,,,,,,,noise,"Same-model second headbox version, listed on the same 1980 line as the 'testa piccola' version. Fold into the single 'Aliens & Women' create as a version note; not a distinct machine.",,,,,
bem,Arabic Power,,,1985,,,,,,Arabic Power,new-model-existing-maker,arabic-power,low,,,5636,low,Unknown Manufacturer,,yes,exists,"Catalog holds it maker-less (ipdb 5636, 'Unknown Manufacturer'); IPDB: 'purported to be BEM of Milano, Italy, but we have no information to support this' — CE assignment deferred, evidence banked.",arabic-power,,,,
bem,“Arabic Power” versione ‘testa normale’,,,1985,,,,,,“Arabic Power” versione ‘testa normale’,new-model-existing-maker,,,,,,,,,,noise,"Photo caption in the Arabic Power gallery ('Un “Arabic Power” versione ‘testa piccola’, da una intervista al prestigiatore Toni Binarelli:' ... '“Arabic Power” versione ‘testa normale’'). Documents that Arabic Power existed in both headbox versions — capture as a note on the arabic-power model, not a new machine.",,,,,
bem,???,,year unknown – identified as manufactured by BEM thanks to Thierry Delisle,1985,,,,,,??? (year unknown – identified as manufactured by BEM thanks to Thierry Delisle),new-model-existing-maker,,,,,,,,,,defer,"Uncertain NAME, not uncertain existence: a photographed machine identified as BEM by collector Thierry Delisle, name unknown. Cannot create a nameless model. Recommendation: skip for now; optionally mention in the bem CE description; revisit if the machine is ever named. (Legacy itmade text called it 'Un BEM ‘testa piccola’ purtroppo ancora sconosciuto' — so it is a testa-piccola machine.)",,,,,
bem,Ascot,,,1985,,,,,"(cavallini, anzi, cani, in movimento sotto al piano di gioco, come nel “Winner” Williams)",Ascot,new-model-existing-maker,ascot,low,,,5965,low,Unknown Manufacturer,,yes,exists,"Catalog holds it maker-less (ipdb 5965); IPDB: 'Reportedly, the manufacturer is BEM but this has not been confirmed by us' — CE assignment deferred, evidence banked.",ascot,,,,
bem,Crocket,,,1976,,em,1,,,Crocket – em – 1p,new-model-existing-maker,crocket,low,giorgio-massiero,1976,4105,med,"Giorgio Massiero, of Milan, Italy (1976)",GR00k-MLxN2,yes,exists,Photo-section duplicate of the Crocket list entry; adds players=1 (already in IPDB 4105). Same adjudication as the 'Crocket (em)' row.,crocket,,,,
bem,Jackpot,,,1976,,em,1,,,Jackpot – em – 1p,exists,jackpot-2,high,bigliardini-elettronici-milano,1976,4991,high,"Bigliardini Elettronici Milano, of Milano, Italy [Trade Name: BEM]",GR987-MJPEX,,exists,parser high-confidence match,jackpot-2,,,,
