page,name,url,supports,quote
ipdb-flipper-kit-italiani-non-identificati,Grand Slam,,"Ice Show (Italy) conversion, LORI silkscreen","This is a conversion of Gottlieb's 1966 'Ice Show (Italy)'. Reportedly, the backglass and playfield were silkscreened by LORI which, if so, then the art should be by Lorenzo Rimondini."
ipdb-flipper-kit-italiani-non-identificati,El Tigre,,1-player SS version of Gottlieb Tiger,"A 1-player SS version of Gottlieb's 1975 'Tiger' and shows a woman on the backglass instead of a man.

The lower left and right corners of the backglass indicate ""Manufactured by El Tigre and Co.""
This game is an example of Gottlieb Made In Italy."
ipdb-flipper-kit-italiani-non-identificati,The Circus Tiger,,copy of Gottlieb Tiger,This is a copy of Gottlieb's 1975 'Tiger'.
ipdb-flipper-kit-italiani-non-identificati,New City,,Dama conversion of Williams Hot Line / Big Strike,We had indicated that this game was a conversion kit for Williams' 1967 'Lunar Shot' but the backglass lamp placement and score reel placement along with the playfield layout look more like it is a conversion of Williams' 1966 'Hot Line' or its add-a-ball version Williams' 1966 'Big Strike'.
ipdb-flipper-kit-italiani-non-identificati,Mini Flipper,,"IPDB attributes Mini Flipper to Rumatic, of Spain","Rumatic, of Spain"
ipdb-flipper-kit-italiani-non-identificati,Cosmos,,an unknown-manufacturer Cosmos exists in IPDB,Cosmos — Unknown Manufacturer
ipdb-flipper-kit-italiani-non-identificati,Bowling,,Italian add-a-ball on Gottlieb parts; two glass variants known,"Reportedly, this game was made in Italy. It has the ball kick-up feature at the outhole and the five unmarked art elements on the backglass, typical of Italian add-a-ball games. It uses Gottlieb parts."
ipdb-flipper-kit-italiani-non-identificati,Big Sakem,,"1-player copy of Gottlieb Big Indian, attributed to Ripepi",This is a 1-player copy of Gottlieb's 1974 'Big Indian'. We do not know if this is an add-a-ball game.
ipdb-flipper-kit-italiani-non-identificati,Big Sakem,https://www.tilt.it/itmade.htm,"tilt.it credits Big Sakem to Nordamatic, presented at 3rd Enada",1974 Big Sakem (Nordmatic - presentato alla 3a Enada)
manilamatic,Lucky Man,https://www.arcade-museum.com/Pinball/lucky-man,Museum of the Game also lists Lucky Man under Nordamatic (1976) — supports the Nordamatic attribution side of the conflict,(not fetched; listing surfaced in search results as 'Lucky Man - Pinball by Nordamatic')
manilamatic,Pool Rabbit,https://www.vpforums.org/index.php?showtopic=46118,"Existence, MM Computer Games backglass branding, Roger Rabbit-inspired art, ManilaMatic attribution, possible flipped Eight Ball layout","The game is called ""Pool Rabbit"" by ""MM Computer Games."" Other forum members chimed in saying it was made by an Italian company called ManilaMatic in 1985, and the playfield is possibly a flipped ""Eight Ball"" layout."
sidam,Rugby,https://www.arcade-museum.com/Videogame/rugby,"Rugby by Sidam is a video pinball genre videogame, 1-2 alternating players",A video pinball game. Rugby was produced by Sidam in 1976.
sidam,Rugby,https://retrocampus.com/2015/12/31/sidam-videogiochi-a-torino/,Rugby is Sidam's 1979 copy of Atari's Video Pinball,Rugby | 1979 | Da Video Pinball (Atari)
sidam,Rugby,https://www.tilt.it/deb/sidam-en.html,Why it is named Rugby; a working unit survives; retheme of Atari Video Pinball,"Compared to Atari Video Pinball, ambientation changes completely, and then the background on which was reflected the image of the monitor. At the time, American football was almost unknown in Italy, and was identified as ""a sort of Rugby football"", hence probably the name."
sidam,Rugby,https://www.flickr.com/photos/arcadeoutsiders/13133287825,"Photo of a surviving unit, independently labeled a Video Pinball bootleg","Level42 Rugby, Sidam Video Pinball bootleg !!!"
zaccaria,Jungle Life,https://it.wikipedia.org/wiki/Zaccaria_(azienda),Zaccaria's pre-production era of modifying and rebranding American pinballs (context for early copies like Jungle Life),"Nel tardo 1967 si iniziò l'attività di modifica di flipper statunitensi, effettuando rebranding per i clienti locali."
zaccaria,Ten Up,http://www.zaccaria-pinball.com/corti/zaccaria.html,"Claims Ten Up (EM, 1P, 1974) was Zaccaria's first model and a 4-player version followed in 1975","la Zaccaria produsse il suo primo modello di flipper, il TEN UP modello elettromeccanico ad un solo giocatore"
zaccaria,Queen Castle,http://www.zaccaria-pinball.com/corti/zaccaria.html,"Confirms Queen's Castle as Zaccaria's sole 1978 electromechanical, 1 player",Nel 1978 invece viene prodotto un solo modello elettromeccanico (lasciando piu' spazio alla produzione elettronica) il QUEEN'S CASTLE ad un giocatore
zaccaria,Soccer King,https://it.wikipedia.org/wiki/Zaccaria_(azienda),Wikipedia's Zaccaria article uses Soccer Kings (plural) in its production-line photo caption,Controllo produzione dei flipper Zaccaria Soccer Kings (1984 circa)
