model_slug,field,person_name,person_slug,role,source_label,source_tier,cite_ref,cite_locator,cite_quote
sonic-the-hedgehog-collectors-edition,credit,Duncan Brown,duncan-brown,software,Software,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Duncan Brown
sonic-the-hedgehog-collectors-edition,credit,Taylor Snyder,taylor-snyder,software,Software,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Taylor Snyder
sonic-the-hedgehog-collectors-edition,credit,Eric Miller,eric-miller,other,Electronics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Electronics: Eric Miller
sonic-the-hedgehog-collectors-edition,credit,Joe Ernest,joe-ernest,other,Electronics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Joe Ernest
sonic-the-hedgehog-collectors-edition,credit,Luna Silverfang,luna-silverfang,other,Electronics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Luna Silverfang
sonic-the-hedgehog-collectors-edition,credit,Will Mercado,will-mercado,other,Electronics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Will Mercado
sonic-the-hedgehog-collectors-edition,credit,Williams Ray,williams-ray,other,Electronics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Williams Ray
sonic-the-hedgehog-collectors-edition,credit,Darryl Young,darryl-young,art,Artwork,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Artwork: Darryl Young
sonic-the-hedgehog-collectors-edition,credit,Bobby Llereza,bobby-llereza,animation,Animation,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Animation: Bobby Llereza
sonic-the-hedgehog-collectors-edition,credit,Johnny Wiegel,johnny-wiegel,animation,Animation,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Johnny Wiegel
sonic-the-hedgehog-collectors-edition,credit,Olaf Gremie,olaf-gremie,animation,Animation,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Olaf Gremie
sonic-the-hedgehog-collectors-edition,credit,Pierce Colbert,pierce-colbert,sound,Sound,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Sound: Pierce Colbert
sonic-the-hedgehog-collectors-edition,credit,Slash,slash,music,Music,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Music: Slash
sonic-the-hedgehog-collectors-edition,credit,Debbie Holstein,debbie-holstein,other,Game Producer,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Game Producer: Debbie Holstein
sonic-the-hedgehog-special-edition,credit,Steve Ritchie,steve-ritchie,design,Game Design,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Game Design: Steve Ritchie
sonic-the-hedgehog-special-edition,credit,Cam Mastoras,cam-mastoras,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Engineering/mechanics: Cam Mastoras
sonic-the-hedgehog-special-edition,credit,Dan Lachcik,dan-lachcik,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Dan Lachcik
sonic-the-hedgehog-special-edition,credit,Mike Vega,mike-vega,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Mike Vega
sonic-the-hedgehog-special-edition,credit,Myles Emmons,myles-emmons,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Myles Emmons
sonic-the-hedgehog-special-edition,credit,Zofia Bil,zofia-bil,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Zofia Bil
sonic-the-hedgehog-special-edition,credit,Bill Grupp,bill-grupp,software,Software,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Software: Bill Grupp
sonic-the-hedgehog-special-edition,credit,Duncan Brown,duncan-brown,software,Software,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Duncan Brown
sonic-the-hedgehog-special-edition,credit,Taylor Snyder,taylor-snyder,software,Software,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Taylor Snyder
sonic-the-hedgehog-special-edition,credit,Eric Miller,eric-miller,other,Electronics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Electronics: Eric Miller
sonic-the-hedgehog-special-edition,credit,Joe Ernest,joe-ernest,other,Electronics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Joe Ernest
sonic-the-hedgehog-special-edition,credit,Luna Silverfang,luna-silverfang,other,Electronics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Luna Silverfang
sonic-the-hedgehog-special-edition,credit,Will Mercado,will-mercado,other,Electronics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Will Mercado
sonic-the-hedgehog-special-edition,credit,Williams Ray,williams-ray,other,Electronics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Williams Ray
sonic-the-hedgehog-special-edition,credit,Darryl Young,darryl-young,art,Artwork,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Artwork: Darryl Young
sonic-the-hedgehog-special-edition,credit,Bobby Llereza,bobby-llereza,animation,Animation,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Animation: Bobby Llereza
sonic-the-hedgehog-special-edition,credit,Johnny Wiegel,johnny-wiegel,animation,Animation,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Johnny Wiegel
sonic-the-hedgehog-special-edition,credit,Olaf Gremie,olaf-gremie,animation,Animation,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Olaf Gremie
sonic-the-hedgehog-special-edition,credit,Pierce Colbert,pierce-colbert,sound,Sound,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Sound: Pierce Colbert
sonic-the-hedgehog-special-edition,credit,Slash,slash,music,Music,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Music: Slash
sonic-the-hedgehog-special-edition,credit,Debbie Holstein,debbie-holstein,other,Game Producer,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-special,in the Design team section,Game Producer: Debbie Holstein
sonic-the-hedgehog-arcade-edition,credit,Steve Ritchie,steve-ritchie,design,Game Design,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Game Design: Steve Ritchie
sonic-the-hedgehog-arcade-edition,credit,Cam Mastoras,cam-mastoras,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Engineering/mechanics: Cam Mastoras
sonic-the-hedgehog-arcade-edition,credit,Dan Lachcik,dan-lachcik,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Dan Lachcik
sonic-the-hedgehog-arcade-edition,credit,Mike Vega,mike-vega,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Mike Vega
sonic-the-hedgehog-arcade-edition,credit,Myles Emmons,myles-emmons,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Myles Emmons
sonic-the-hedgehog-arcade-edition,credit,Zofia Bil,zofia-bil,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Zofia Bil
sonic-the-hedgehog-arcade-edition,credit,Bill Grupp,bill-grupp,software,Software,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Software: Bill Grupp
sonic-the-hedgehog-arcade-edition,credit,Duncan Brown,duncan-brown,software,Software,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Duncan Brown
sonic-the-hedgehog-arcade-edition,credit,Taylor Snyder,taylor-snyder,software,Software,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Taylor Snyder
sonic-the-hedgehog-arcade-edition,credit,Eric Miller,eric-miller,other,Electronics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Electronics: Eric Miller
sonic-the-hedgehog-arcade-edition,credit,Joe Ernest,joe-ernest,other,Electronics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Joe Ernest
sonic-the-hedgehog-arcade-edition,credit,Luna Silverfang,luna-silverfang,other,Electronics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Luna Silverfang
sonic-the-hedgehog-arcade-edition,credit,Will Mercado,will-mercado,other,Electronics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Will Mercado
sonic-the-hedgehog-arcade-edition,credit,Williams Ray,williams-ray,other,Electronics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Williams Ray
sonic-the-hedgehog-arcade-edition,credit,Darryl Young,darryl-young,art,Artwork,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Artwork: Darryl Young
sonic-the-hedgehog-arcade-edition,credit,Bobby Llereza,bobby-llereza,animation,Animation,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Animation: Bobby Llereza
sonic-the-hedgehog-arcade-edition,credit,Johnny Wiegel,johnny-wiegel,animation,Animation,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Johnny Wiegel
sonic-the-hedgehog-arcade-edition,credit,Olaf Gremie,olaf-gremie,animation,Animation,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Olaf Gremie
sonic-the-hedgehog-arcade-edition,credit,Pierce Colbert,pierce-colbert,sound,Sound,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Sound: Pierce Colbert
sonic-the-hedgehog-arcade-edition,credit,Slash,slash,music,Music,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Music: Slash
sonic-the-hedgehog-arcade-edition,credit,Debbie Holstein,debbie-holstein,other,Game Producer,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-arcade,in the Design team section,Game Producer: Debbie Holstein
bon-jovi,credit,David Van Es,david-van-es,design,Game Design,secondary,https://pinside.com/pinball/machine/bof-bon-jovi,in the Design team section,Game Design: David Van Es
bon-jovi,credit,Luke Underwood,luke-underwood,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/bof-bon-jovi,in the Design team section,Engineering/mechanics: Luke Underwood
bon-jovi,credit,Paul Sulisz,paul-sulisz,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/bof-bon-jovi,in the Design team section,Paul Sulisz
bon-jovi,credit,Eric Priepke,eric-priepke,software,Software,secondary,https://pinside.com/pinball/machine/bof-bon-jovi,in the Design team section,Software: Eric Priepke
bon-jovi,credit,Jess DeNardo,jess-denardo,other,Rules,secondary,https://pinside.com/pinball/machine/bof-bon-jovi,in the Design team section,Rules: Jess DeNardo
bon-jovi,credit,Phil Grimaldi,phil-grimaldi,other,Rules,secondary,https://pinside.com/pinball/machine/bof-bon-jovi,in the Design team section,Phil Grimaldi
bon-jovi,credit,Parker Dillman,parker-dillman,other,Electronics,secondary,https://pinside.com/pinball/machine/bof-bon-jovi,in the Design team section,Electronics: Parker Dillman
bon-jovi,credit,Jonathan Bergeron,jonathan-bergeron,art,Artwork,secondary,https://pinside.com/pinball/machine/bof-bon-jovi,in the Design team section,Artwork: Jonathan Bergeron
bon-jovi,credit,Joshua Clay,joshua-clay,animation,Animation,secondary,https://pinside.com/pinball/machine/bof-bon-jovi,in the Design team section,Animation: Joshua Clay
bon-jovi,credit,Trent Armstrong,trent-armstrong,animation,Animation,secondary,https://pinside.com/pinball/machine/bof-bon-jovi,in the Design team section,Trent Armstrong
bon-jovi,credit,Jeff Dodson,jeff-dodson,sound,Sound,secondary,https://pinside.com/pinball/machine/bof-bon-jovi,in the Design team section,Sound: Jeff Dodson
dungeon-crawler-carl,credit,Ian Harrower,ian-harrower,design,Game Design,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Game Design: Ian Harrower
dungeon-crawler-carl,credit,Josh Kugler,josh-kugler,design,Game Design,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Josh Kugler
dungeon-crawler-carl,credit,Stephen Silver,stephen-silver,design,Game Design,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Stephen Silver
dungeon-crawler-carl,credit,TJ Weaver,tj-weaver,design,Game Design,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,TJ Weaver
dungeon-crawler-carl,credit,Wesley Johnson,wesley-johnson,design,Game Design,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Wesley Johnson
dungeon-crawler-carl,credit,TJ Weaver,tj-weaver,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Engineering/mechanics: TJ Weaver
dungeon-crawler-carl,credit,Trey Jones,trey-jones,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Trey Jones
dungeon-crawler-carl,credit,Ian Harrower,ian-harrower,software,Software,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Software: Ian Harrower
dungeon-crawler-carl,credit,Josh Kugler,josh-kugler,software,Software,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Josh Kugler
dungeon-crawler-carl,credit,Michael Ocean,michael-ocean,software,Software,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Michael Ocean
dungeon-crawler-carl,credit,Wesley Johnson,wesley-johnson,other,Rules,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Rules: Wesley Johnson
dungeon-crawler-carl,credit,Brad Albright,brad-albright,art,Artwork,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Artwork: Brad Albright
dungeon-crawler-carl,credit,Luciano Fleitas,luciano-fleitas,art,Artwork,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Luciano Fleitas
dungeon-crawler-carl,credit,Ian Harrower,ian-harrower,animation,Animation,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Animation: Ian Harrower
dungeon-crawler-carl,credit,Stephen Silver,stephen-silver,animation,Animation,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Stephen Silver
dungeon-crawler-carl,credit,Matt Kern,matt-kern,sound,Sound,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Sound: Matt Kern
dungeon-crawler-carl,credit,Matt Kern,matt-kern,music,Music,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Music: Matt Kern
dungeon-crawler-carl,credit,Jeff Hays,jeff-hays,other,Callouts,secondary,https://pinside.com/pinball/machine/dungeon-crawler-carl,in the Design team section,Callouts: Jeff Hays
enders-game,credit,Josh Kugler,josh-kugler,design,Game Design,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Game Design: Josh Kugler
enders-game,credit,Stephen Silver,stephen-silver,design,Game Design,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Stephen Silver
enders-game,credit,TJ Weaver,tj-weaver,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Engineering/mechanics: TJ Weaver
enders-game,credit,Trey Jones,trey-jones,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Trey Jones
enders-game,credit,Ian Harrower,ian-harrower,software,Software,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Software: Ian Harrower
enders-game,credit,Josh Kugler,josh-kugler,software,Software,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Josh Kugler
enders-game,credit,Steve Shoyer,steve-shoyer,software,Software,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Steve Shoyer
enders-game,credit,Colin MacAlpine,colin-macalpine,other,Rules,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Rules: Colin MacAlpine
enders-game,credit,Josh Kugler,josh-kugler,other,Rules,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Josh Kugler
enders-game,credit,Brad Albright,brad-albright,art,Artwork,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Artwork: Brad Albright
enders-game,credit,Rory Cernuda,rory-cernuda,art,Artwork,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Rory Cernuda
enders-game,credit,Rory Cernuda,rory-cernuda,animation,Animation,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Animation: Rory Cernuda
enders-game,credit,Stephen Silver,stephen-silver,animation,Animation,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Stephen Silver
enders-game,credit,Glenn Waechter,glenn-waechter,sound,Sound,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Sound: Glenn Waechter
enders-game,credit,Aaron Williams,aaron-williams,music,Music,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Music: Aaron Williams
enders-game,credit,Paul Farrer,paul-farrer,music,Music,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Paul Farrer
enders-game,credit,Aline Allen,aline-allen,other,Callouts,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Callouts: Aline Allen
enders-game,credit,Cash Bailey,cash-bailey,other,Callouts,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Cash Bailey
enders-game,credit,Eli Silver,eli-silver,other,Callouts,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Eli Silver
enders-game,credit,Glenn Waechter,glenn-waechter,other,Callouts,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Glenn Waechter
enders-game,credit,Lucas Pepke,lucas-pepke,other,Callouts,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Lucas Pepke
enders-game,credit,Sam Tucker,sam-tucker,other,Callouts,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Sam Tucker
enders-game,credit,Tyson Silver,tyson-silver,other,Callouts,secondary,https://pinside.com/pinball/machine/enders-game,in the Design team section,Tyson Silver
tales-of-the-arabian-nights-30th-anniversary-remake,credit,Brian Allen,brian-allen,art,Artwork,secondary,https://pinside.com/pinball/machine/tales-of-the-arabian-nights-remake,in the Design team section,Artwork: Brian Allen
yukon-yeti,credit,Dennis Nordman,dennis-nordman,design,Game Design,secondary,https://pinside.com/pinball/machine/yukon-yeti,in the Design team section,Game Design: Dennis Nordman
yukon-yeti,credit,Chris Turner,chris-turner,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/yukon-yeti,in the Design team section,Engineering/mechanics: Chris Turner
yukon-yeti,credit,Gabe Hernandez,gabe-hernandez,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/yukon-yeti,in the Design team section,Gabe Hernandez
yukon-yeti,credit,Chris Turner,chris-turner,software,Software,secondary,https://pinside.com/pinball/machine/yukon-yeti,in the Design team section,Software: Chris Turner
yukon-yeti,credit,Matthew Brozusky,matthew-brozusky,software,Software,secondary,https://pinside.com/pinball/machine/yukon-yeti,in the Design team section,Matthew Brozusky
yukon-yeti,credit,Brad Duke,brad-duke,other,Rules,secondary,https://pinside.com/pinball/machine/yukon-yeti,in the Design team section,Rules: Brad Duke
yukon-yeti,credit,Jon Norris,jon-norris,other,Rules,secondary,https://pinside.com/pinball/machine/yukon-yeti,in the Design team section,Jon Norris
yukon-yeti,credit,Quinn Johnson,quinn-johnson,other,Rules,secondary,https://pinside.com/pinball/machine/yukon-yeti,in the Design team section,Quinn Johnson
yukon-yeti,credit,Brad Duke,brad-duke,art,Artwork,secondary,https://pinside.com/pinball/machine/yukon-yeti,in the Design team section,Artwork: Brad Duke
yukon-yeti,credit,Matthew Brozusky,matthew-brozusky,animation,Animation,secondary,https://pinside.com/pinball/machine/yukon-yeti,in the Design team section,Animation: Matthew Brozusky
yukon-yeti,credit,Adam Gubman,adam-gubman,sound,Sound,secondary,https://pinside.com/pinball/machine/yukon-yeti,in the Design team section,Sound: Adam Gubman
yukon-yeti,credit,Chris Granner,chris-granner,sound,Sound,secondary,https://pinside.com/pinball/machine/yukon-yeti,in the Design team section,Chris Granner
galactic-tank-force-victory-edition,credit,Dennis Nordman,dennis-nordman,design,Game Design,secondary,https://pinside.com/pinball/machine/ap-galactic-tank-force-victory-edition,in the Design team section,Game Design: Dennis Nordman
galactic-tank-force-victory-edition,credit,Joe Schober,joe-schober,software,Software,secondary,https://pinside.com/pinball/machine/ap-galactic-tank-force-victory-edition,in the Design team section,Software: Joe Schober
galactic-tank-force-victory-edition,credit,Christopher Franchi,christopher-franchi,art,Artwork,secondary,https://pinside.com/pinball/machine/ap-galactic-tank-force-victory-edition,in the Design team section,Artwork: Christopher Franchi
galactic-tank-force-victory-edition,credit,Matt Kern,matt-kern,sound,Sound,secondary,https://pinside.com/pinball/machine/ap-galactic-tank-force-victory-edition,in the Design team section,Sound: Matt Kern
houdini-100th-anniversary,credit,Joe Balcer,joe-balcer,design,Game Design,secondary,https://pinside.com/pinball/machine/houdini-100th,in the Design team section,Game Design: Joe Balcer
houdini-100th-anniversary,credit,Jim Thornton,jim-thornton,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/houdini-100th,in the Design team section,Engineering/mechanics: Jim Thornton
houdini-100th-anniversary,credit,Josh Kugler,josh-kugler,software,Software,secondary,https://pinside.com/pinball/machine/houdini-100th,in the Design team section,Software: Josh Kugler
houdini-100th-anniversary,credit,Jeff Busch,jeff-busch,art,Artwork,secondary,https://pinside.com/pinball/machine/houdini-100th,in the Design team section,Artwork: Jeff Busch
